,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 36,0.0,0.0,0.0,25.0,43.75,33.333333333333336,46.51162790697675,,,,,,
game: 37,19.999999999999996,0.0,0.0,14.28571428571429,14.28571428571429,19.999999999999996,23.529411764705888,,,,,,
game: 38,0.0,0.0,0.0,25.0,25.0,21.42857142857143,50.0,40.90909090909091,47.61904761904761,,,,
game: 39,0.0,0.0,14.28571428571429,0.0,19.999999999999996,,,,,,,,
game: 40,0.0,0.0,11.111111111111116,0.0,14.28571428571429,23.529411764705888,25.0,35.0,35.0,57.89473684210527,,,
game: 41,19.999999999999996,0.0,14.28571428571429,9.999999999999998,23.529411764705888,28.000000000000004,30.000000000000004,37.03703703703704,57.14285714285714,,,,
game: 42,0.0,0.0,0.0,26.315789473684216,17.647058823529417,41.666666666666664,30.76923076923077,33.333333333333336,33.333333333333336,56.363636363636374,57.407407407407405,,
game: 43,0.0,0.0,0.0,11.111111111111116,23.076923076923073,25.0,50.0,,,,,,
game: 44,0.0,0.0,8.333333333333337,14.28571428571429,25.0,14.28571428571429,27.27272727272727,25.0,,,,,
game: 45,0.0,0.0,0.0,23.809523809523814,16.666666666666664,47.76119402985075,48.275862068965516,33.333333333333336,23.076923076923073,,,,
game: 46,0.0,0.0,0.0,16.666666666666664,22.22222222222222,12.5,25.0,30.76923076923077,47.61904761904761,,,,
game: 47,19.999999999999996,0.0,14.28571428571429,12.5,25.0,,,,,,,,
game: 48,0.0,0.0,0.0,12.5,19.999999999999996,23.076923076923073,33.333333333333336,52.27272727272727,,,,,
game: 49,19.999999999999996,0.0,0.0,12.5,14.28571428571429,31.25,31.25,45.45454545454546,52.94117647058824,,,,
game: 50,0.0,0.0,19.999999999999996,0.0,22.22222222222222,28.57142857142857,28.57142857142857,19.999999999999996,37.5,19.999999999999996,19.999999999999996,19.999999999999996,19.999999999999996
game: 51,19.999999999999996,0.0,0.0,25.0,19.999999999999996,32.25806451612904,50.877192982456144,47.22222222222222,46.42857142857143,40.74074074074075,,,
game: 52,0.0,0.0,0.0,0.0,19.999999999999996,25.0,37.93103448275862,33.333333333333336,44.44444444444444,57.407407407407405,,,
game: 53,0.0,0.0,0.0,12.5,23.076923076923073,,,,,,,,
game: 54,0.0,0.0,0.0,0.0,33.333333333333336,25.0,28.57142857142857,46.15384615384615,,,,,
game: 55,0.0,0.0,0.0,25.0,26.315789473684216,,,,,,,,
game: 56,0.0,0.0,12.5,14.28571428571429,27.27272727272727,16.666666666666664,22.22222222222222,36.8421052631579,,,,,
game: 57,0.0,0.0,0.0,11.111111111111116,18.181818181818176,21.42857142857143,27.27272727272727,45.16129032258065,,,,,
game: 58,0.0,0.0,0.0,23.076923076923073,27.27272727272727,28.000000000000004,43.75,44.73684210526315,,,,,
game: 59,0.0,0.0,16.666666666666664,21.42857142857143,23.529411764705888,31.25,47.36842105263158,47.5,30.000000000000004,19.999999999999996,,,
