,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 60,0,3,5,10,12,7.0,10.0,5.0,6.0,,,,
game: 61,1,3,7,11,15,12.0,16.0,,,,,,
game: 62,0,3,7,7,4,8.0,9.0,12.0,20.0,,,,
game: 63,1,3,11,7,11,,,,,,,,
game: 64,0,2,8,6,12,21.0,14.0,17.0,5.0,,,,
game: 65,1,4,5,14,18,41.0,15.0,,,,,,
game: 66,1,2,4,6,7,12.0,6.0,8.0,,,,,
game: 67,1,3,10,11,8,6.0,12.0,19.0,9.0,,,,
game: 68,1,1,3,6,13,10.0,10.0,7.0,9.0,,,,
game: 69,5,3,4,8,7,11.0,,,,,,,
game: 70,1,3,9,6,6,9.0,15.0,6.0,,,,,
game: 71,3,2,9,6,20,13.0,13.0,8.0,6.0,,,,
game: 72,0,3,5,10,14,26.0,15.0,,,,,,
game: 73,3,3,4,14,9,9.0,14.0,12.0,,,,,
game: 74,1,2,5,10,11,27.0,11.0,6.0,5.0,,,,
game: 75,1,3,5,11,11,10.0,14.0,,,,,,
game: 76,0,3,3,4,6,9.0,9.0,18.0,,,,,
game: 77,1,3,6,4,9,7.0,10.0,,,,,,
game: 78,1,1,3,4,8,6.0,15.0,13.0,,,,,
game: 79,1,3,6,13,11,10.0,21.0,,,,,,
game: 80,0,3,4,9,8,14.0,8.0,8.0,18.0,18.0,11.0,11.0,
game: 81,3,3,4,5,10,7.0,9.0,15.0,9.0,9.0,3.0,,
game: 82,0,2,5,13,9,7.0,,,,,,,
game: 83,3,2,4,5,5,7.0,,,,,,,
game: 84,1,2,6,2,4,12.0,15.0,7.0,,,,,
game: 85,3,2,5,9,11,,,,,,,,
game: 86,0,2,2,7,19,14.0,9.0,7.0,14.0,15.0,9.0,,
game: 87,3,1,3,5,11,9.0,17.0,17.0,,,,,
game: 88,1,3,6,4,4,10.0,12.0,,,,,,
game: 89,1,3,7,6,13,26.0,,,,,,,
game: 90,0,3,5,14,22,10.0,16.0,10.0,,,,,
game: 91,3,2,4,6,9,,,,,,,,
game: 92,0,3,5,8,10,16.0,23.0,21.0,,,,,
game: 93,5,3,3,10,14,14.0,15.0,12.0,8.0,,,,
game: 94,0,4,11,9,7,12.0,15.0,15.0,7.0,,,,
game: 95,1,3,7,3,5,7.0,,,,,,,
game: 96,0,2,5,9,21,19.0,35.0,,,,,,
