,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23,turn 24,turn 25,turn 26,turn 27,turn 28,turn 29,turn 30,turn 31,turn 32
game: 54,1,1,11,5,2,3,3.0,2.0,10.0,19.0,13.0,7.0,3.0,3.0,,,,,,,,,,,,,,,,,,,
game: 55,4,3,4,14,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 56,0,1,3,5,21,59,14.0,37.0,14.0,7.0,8.0,11.0,5.0,7.0,6.0,7.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,14.0,9.0,,,,,,,,
game: 57,1,1,6,9,12,7,21.0,10.0,17.0,10.0,13.0,10.0,7.0,6.0,,,,,,,,,,,,,,,,,,,
game: 58,1,2,11,5,14,7,7.0,14.0,13.0,9.0,11.0,6.0,7.0,6.0,7.0,3.0,,,,,,,,,,,,,,,,,
game: 59,1,4,11,36,37,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
game: 60,0,2,20,10,6,8,7.0,13.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 61,4,5,2,3,39,7,3.0,9.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,
game: 62,1,1,2,4,8,15,10.0,13.0,61.0,21.0,13.0,10.0,19.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,
game: 63,4,3,2,5,20,8,15.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 64,0,2,1,4,4,15,10.0,30.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
game: 65,3,5,7,9,10,19,9.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
game: 66,1,2,2,5,8,7,3.0,3.0,3.0,7.0,3.0,3.0,3.0,5.0,6.0,7.0,3.0,,,,,,,,,,,,,,,,
game: 67,1,3,8,6,2,3,11.0,42.0,10.0,13.0,7.0,5.0,7.0,3.0,9.0,17.0,,,,,,,,,,,,,,,,,
game: 68,0,2,3,2,9,4,7.0,9.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,
