,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
game: 27,2,4,4,8,10,16,20.0,15.0,29.0,103.0,38.0,21.0,10.0,,,,,,,,,
game: 28,1,3,4,11,7,9,44.0,28.0,21.0,82.0,39.0,26.0,38.0,15.0,84.0,35.0,23.0,,,,,
game: 29,2,4,6,9,17,24,37.0,,,,,,,,,,,,,,,
game: 30,1,3,5,8,17,14,20.0,22.0,,,,,,,,,,,,,,
game: 31,2,3,5,13,18,18,,,,,,,,,,,,,,,,
game: 32,1,4,4,5,13,9,62.0,10.0,26.0,27.0,16.0,5.0,16.0,10.0,16.0,5.0,16.0,5.0,2.0,2.0,2.0,2.0
game: 33,2,3,5,7,14,18,,,,,,,,,,,,,,,,
game: 34,1,3,5,13,17,9,214.0,10.0,16.0,15.0,11.0,12.0,8.0,,,,,,,,,
game: 35,2,4,5,20,20,72,81.0,23.0,26.0,26.0,,,,,,,,,,,,
game: 36,1,4,5,8,25,31,29.0,63.0,,,,,,,,,,,,,,
game: 37,2,6,6,21,37,53,66.0,,,,,,,,,,,,,,,
game: 38,1,3,4,7,17,12,28.0,17.0,23.0,260.0,,,,,,,,,,,,
game: 39,2,5,4,8,7,9,17.0,105.0,23.0,26.0,,,,,,,,,,,,
game: 40,1,3,6,14,18,31,20.0,23.0,,,,,,,,,,,,,,
game: 41,2,5,7,29,45,81,58.0,45.0,,,,,,,,,,,,,,
game: 42,1,2,4,4,12,6,30.0,24.0,,,,,,,,,,,,,,
game: 43,2,3,5,10,30,13,90.0,82.0,158.0,,,,,,,,,,,,,
game: 44,1,5,5,11,15,8,17.0,19.0,51.0,15.0,86.0,16.0,5.0,,,,,,,,,
game: 45,2,4,6,14,22,77,38.0,20.0,,,,,,,,,,,,,,
game: 46,1,3,5,9,22,109,67.0,52.0,138.0,,,,,,,,,,,,,
game: 47,2,3,5,9,17,24,28.0,40.0,,,,,,,,,,,,,,
game: 48,1,4,5,8,10,100,25.0,121.0,27.0,34.0,,,,,,,,,,,,
game: 49,2,5,6,13,12,15,,,,,,,,,,,,,,,,
game: 50,1,4,4,7,9,32,20.0,52.0,,,,,,,,,,,,,,
game: 51,2,4,4,12,19,32,23.0,,,,,,,,,,,,,,,
game: 52,1,5,7,21,37,117,124.0,43.0,85.0,25.0,,,,,,,,,,,,
game: 53,2,5,5,20,20,47,39.0,,,,,,,,,,,,,,,
game: 54,1,3,5,12,16,25,36.0,35.0,26.0,,,,,,,,,,,,,
game: 55,2,5,6,27,19,61,98.0,85.0,,,,,,,,,,,,,,
game: 56,1,3,3,6,17,67,55.0,12.0,13.0,10.0,,,,,,,,,,,,
game: 57,2,4,5,11,23,41,,,,,,,,,,,,,,,,
game: 58,1,3,3,6,8,10,27.0,12.0,61.0,155.0,13.0,23.0,,,,,,,,,,
game: 59,2,3,6,13,11,22,28.0,,,,,,,,,,,,,,,
game: 60,1,4,5,7,10,24,44.0,68.0,42.0,30.0,29.0,,,,,,,,,,,
game: 61,2,3,6,10,23,48,28.0,,,,,,,,,,,,,,,
game: 62,1,4,5,13,17,12,70.0,23.0,41.0,34.0,40.0,21.0,10.0,16.0,16.0,5.0,5.0,5.0,,,,
game: 63,2,3,4,8,11,17,24.0,,,,,,,,,,,,,,,
game: 64,1,4,5,9,18,17,36.0,,,,,,,,,,,,,,,
game: 65,2,4,4,6,12,13,17.0,201.0,,,,,,,,,,,,,,
game: 66,1,3,5,6,14,11,22.0,53.0,,,,,,,,,,,,,,
game: 67,2,3,6,15,22,29,44.0,112.0,47.0,34.0,21.0,23.0,27.0,29.0,27.0,10.0,5.0,2.0,2.0,2.0,2.0,
game: 68,1,4,5,7,8,17,35.0,20.0,84.0,182.0,,,,,,,,,,,,
game: 69,2,3,3,8,12,18,30.0,59.0,60.0,,,,,,,,,,,,,
game: 70,1,3,4,5,13,12,22.0,71.0,40.0,51.0,,,,,,,,,,,,
game: 71,2,5,5,13,13,10,25.0,,,,,,,,,,,,,,,
game: 72,1,4,6,20,19,46,50.0,111.0,20.0,8.0,10.0,16.0,5.0,5.0,5.0,41.0,41.0,14.0,,,,
game: 73,2,5,4,12,17,16,30.0,44.0,50.0,,,,,,,,,,,,,
game: 74,1,3,4,6,8,10,18.0,246.0,36.0,33.0,219.0,39.0,45.0,26.0,,,,,,,,
game: 75,2,4,4,13,20,38,56.0,63.0,,,,,,,,,,,,,,
game: 76,1,3,5,8,11,14,48.0,17.0,,,,,,,,,,,,,,
game: 77,2,4,7,13,18,21,61.0,35.0,,,,,,,,,,,,,,
game: 78,1,5,5,20,15,39,48.0,66.0,116.0,,,,,,,,,,,,,
game: 79,2,3,6,9,22,17,,,,,,,,,,,,,,,,
game: 80,1,3,6,13,22,28,37.0,28.0,118.0,,,,,,,,,,,,,
game: 81,2,5,6,21,27,45,61.0,13.0,,,,,,,,,,,,,,
game: 82,1,2,5,8,17,15,15.0,21.0,,,,,,,,,,,,,,
game: 83,2,4,6,19,32,34,28.0,17.0,,,,,,,,,,,,,,
game: 84,1,3,5,35,7,13,12.0,35.0,99.0,21.0,,,,,,,,,,,,
