,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21
game: 49,1,4,5,10,9,11,,,,,,,,,,,,,,,,
game: 50,0,3,3,5,7,18,12.0,25.0,,,,,,,,,,,,,,
game: 51,1,3,3,9,13,19,15.0,,,,,,,,,,,,,,,
game: 52,0,4,6,17,25,47,47.0,28.0,34.0,18.0,,,,,,,,,,,,
game: 53,1,4,4,16,14,28,26.0,,,,,,,,,,,,,,,
game: 54,0,2,4,9,10,14,17.0,18.0,13.0,,,,,,,,,,,,,
game: 55,1,4,5,19,15,31,43.0,39.0,,,,,,,,,,,,,,
game: 56,0,2,2,5,11,26,23.0,8.0,9.0,6.0,,,,,,,,,,,,
game: 57,1,3,4,9,16,27,,,,,,,,,,,,,,,,
game: 58,0,2,2,4,6,7,14.0,8.0,28.0,39.0,8.0,11.0,,,,,,,,,,
game: 59,1,2,5,10,8,14,20.0,,,,,,,,,,,,,,,
game: 60,0,3,4,5,7,16,24.0,26.0,20.0,14.0,12.0,,,,,,,,,,,
game: 61,1,2,5,8,16,30,18.0,,,,,,,,,,,,,,,
game: 62,0,3,4,10,11,8,27.0,16.0,23.0,16.0,16.0,10.0,7.0,7.0,7.0,3.0,3.0,3.0,,,,
game: 63,1,2,3,6,8,11,16.0,,,,,,,,,,,,,,,
game: 64,0,3,4,7,13,11,23.0,,,,,,,,,,,,,,,
game: 65,1,3,3,4,8,9,11.0,57.0,,,,,,,,,,,,,,
game: 66,0,2,4,5,10,8,15.0,28.0,,,,,,,,,,,,,,
game: 67,1,2,5,12,15,20,22.0,44.0,21.0,21.0,10.0,11.0,11.0,12.0,13.0,7.0,3.0,1.0,1.0,1.0,1.0,
game: 68,0,3,4,5,6,11,22.0,12.0,36.0,57.0,,,,,,,,,,,,
game: 69,1,2,2,6,9,12,19.0,29.0,27.0,,,,,,,,,,,,,
game: 70,0,2,3,4,9,8,14.0,29.0,21.0,21.0,,,,,,,,,,,,
game: 71,1,4,4,10,10,6,16.0,,,,,,,,,,,,,,,
game: 72,0,3,5,16,15,29,22.0,42.0,9.0,5.0,6.0,7.0,3.0,3.0,3.0,17.0,17.0,8.0,,,,
game: 73,1,4,3,9,12,10,17.0,19.0,31.0,,,,,,,,,,,,,
game: 74,0,2,3,4,6,7,12.0,125.0,21.0,23.0,55.0,20.0,20.0,14.0,,,,,,,,
game: 75,1,3,3,10,14,24,27.0,26.0,,,,,,,,,,,,,,
game: 76,0,2,4,6,8,10,23.0,11.0,,,,,,,,,,,,,,
game: 77,1,3,6,10,13,14,25.0,18.0,,,,,,,,,,,,,,
game: 78,0,4,4,16,12,27,25.0,28.0,53.0,,,,,,,,,,,,,
game: 79,1,2,5,7,15,12,,,,,,,,,,,,,,,,
game: 80,0,2,5,10,15,18,22.0,17.0,45.0,,,,,,,,,,,,,
game: 81,1,4,5,17,18,29,29.0,9.0,,,,,,,,,,,,,,
game: 82,0,1,4,6,11,11,10.0,15.0,,,,,,,,,,,,,,
game: 83,1,3,5,13,22,22,15.0,11.0,,,,,,,,,,,,,,
game: 84,0,2,4,25,5,8,8.0,16.0,33.0,11.0,,,,,,,,,,,,
game: 85,1,5,5,15,11,24,77.0,12.0,28.0,14.0,20.0,15.0,6.0,,,,,,,,,
game: 86,0,2,3,5,6,16,13.0,16.0,16.0,14.0,9.0,15.0,23.0,6.0,7.0,,,,,,,
game: 87,1,3,5,11,13,11,38.0,,,,,,,,,,,,,,,
game: 88,0,2,3,4,8,16,9.0,32.0,19.0,13.0,,,,,,,,,,,,
game: 89,1,3,4,11,12,4,16.0,,,,,,,,,,,,,,,
game: 90,0,3,3,9,9,12,13.0,7.0,8.0,10.0,6.0,6.0,13.0,8.0,17.0,19.0,7.0,1.0,1.0,1.0,,
game: 91,1,2,3,4,7,16,11.0,10.0,29.0,20.0,22.0,36.0,21.0,11.0,9.0,3.0,3.0,,,,,
game: 92,0,2,4,5,8,9,11.0,,,,,,,,,,,,,,,
game: 93,1,2,4,9,12,10,9.0,7.0,,,,,,,,,,,,,,
game: 94,0,3,3,8,9,7,13.0,31.0,,,,,,,,,,,,,,
game: 95,1,4,6,15,16,28,39.0,12.0,9.0,11.0,39.0,7.0,7.0,3.0,7.0,3.0,3.0,1.0,1.0,1.0,,
game: 96,0,3,4,11,13,22,17.0,12.0,,,,,,,,,,,,,,
game: 97,1,3,4,10,18,16,36.0,,,,,,,,,,,,,,,
game: 98,0,1,2,4,5,10,8.0,34.0,32.0,35.0,,,,,,,,,,,,
game: 99,1,3,4,9,8,17,12.0,5.0,50.0,25.0,17.0,11.0,5.0,,,,,,,,,
