,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 57,3,2,4,6,10,24,22.0,13.0,17.0,22.0,18.0,,,,,,,
game: 58,1,2,3,6,10,17,11.0,11.0,8.0,19.0,10.0,10.0,9.0,7.0,6.0,,,
game: 59,3,3,5,8,15,14,17.0,19.0,,,,,,,,,,
game: 60,1,1,1,5,7,7,11.0,27.0,41.0,13.0,29.0,19.0,16.0,21.0,13.0,,,
game: 61,3,3,8,8,4,14,12.0,14.0,11.0,,,,,,,,,
game: 62,0,3,5,35,12,11,16.0,19.0,,,,,,,,,,
game: 63,1,1,3,5,10,23,17.0,10.0,11.0,23.0,,,,,,,,
game: 64,1,2,2,11,7,7,11.0,13.0,8.0,5.0,5.0,3.0,,,,,,
game: 65,9,1,3,4,6,7,10.0,8.0,16.0,,,,,,,,,
game: 66,0,2,3,5,13,15,11.0,23.0,14.0,15.0,,,,,,,,
game: 67,1,3,8,4,4,25,10.0,19.0,11.0,15.0,,,,,,,,
game: 68,1,2,3,6,9,13,10.0,34.0,27.0,11.0,21.0,29.0,11.0,12.0,6.0,,,
game: 69,3,2,4,9,8,8,9.0,48.0,13.0,20.0,,,,,,,,
game: 70,0,2,4,5,10,41,11.0,9.0,,,,,,,,,,
game: 71,1,2,3,9,36,12,13.0,17.0,11.0,18.0,,,,,,,,
game: 72,0,5,1,2,5,3,10.0,6.0,20.0,,,,,,,,,
game: 73,3,6,2,5,7,8,12.0,,,,,,,,,,,
game: 74,1,4,6,3,3,7,7.0,25.0,7.0,35.0,14.0,8.0,10.0,5.0,,,,
game: 75,3,2,2,5,11,16,11.0,23.0,,,,,,,,,,
game: 76,1,2,3,5,9,9,15.0,39.0,23.0,38.0,31.0,11.0,8.0,11.0,,,,
game: 77,3,2,3,9,10,16,22.0,10.0,,,,,,,,,,
game: 78,1,2,3,4,16,20,5.0,6.0,9.0,6.0,3.0,7.0,19.0,3.0,3.0,,,
