,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 83,10,2,4,5,7,6,11.0,16.0,15.0,18.0,24.0,25.0,11.0,,,,,
game: 84,1,4,10,5,7,11,11.0,12.0,21.0,38.0,,,,,,,,
game: 85,4,2,3,5,7,25,14.0,32.0,24.0,32.0,,,,,,,,
game: 86,1,2,3,4,12,13,36.0,,,,,,,,,,,
game: 87,10,4,6,19,5,8,15.0,7.0,11.0,6.0,10.0,16.0,,,,,,
game: 88,2,2,4,5,7,10,14.0,11.0,33.0,31.0,13.0,14.0,12.0,7.0,42.0,6.0,9.0,
game: 89,4,2,3,6,8,25,14.0,42.0,,,,,,,,,,
game: 90,1,4,6,8,13,22,14.0,14.0,6.0,,,,,,,,,
game: 91,4,3,4,7,9,10,14.0,35.0,49.0,15.0,17.0,18.0,9.0,,,,,
game: 92,1,2,3,5,9,10,19.0,14.0,27.0,27.0,23.0,38.0,26.0,41.0,,,,
game: 93,10,4,3,9,6,7,9.0,9.0,16.0,,,,,,,,,
game: 94,1,4,2,4,13,11,25.0,8.0,11.0,6.0,16.0,9.0,11.0,11.0,14.0,,,
game: 95,10,3,3,10,7,8,15.0,15.0,22.0,11.0,9.0,18.0,9.0,,,,,
game: 96,1,6,2,6,11,9,15.0,11.0,13.0,12.0,11.0,7.0,,,,,,
game: 97,2,2,3,5,9,10,23.0,40.0,38.0,,,,,,,,,
game: 98,1,3,5,6,8,11,22.0,21.0,15.0,9.0,12.0,12.0,6.0,,,,,
game: 99,2,4,5,24,8,15,11.0,,,,,,,,,,,
