,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17
game: 38,2,3,5,5,6,9.0,18.0,14.0,19.0,11.0,8.0,4.0,,,,,,
game: 39,2,3,4,5,7,11.0,24.0,,,,,,,,,,,
game: 40,1,3,6,7,10,16.0,10.0,17.0,14.0,14.0,7.0,,,,,,,
game: 41,4,3,3,5,6,9.0,8.0,18.0,10.0,17.0,7.0,12.0,,,,,,
game: 42,2,3,6,10,7,11.0,8.0,8.0,14.0,8.0,,,,,,,,
game: 43,4,3,3,4,7,,,,,,,,,,,,,
game: 44,2,4,7,5,6,8.0,11.0,18.0,16.0,7.0,7.0,7.0,6.0,6.0,7.0,10.0,4.0,
game: 45,2,3,3,3,7,14.0,12.0,25.0,17.0,27.0,20.0,11.0,8.0,4.0,4.0,4.0,,
game: 46,1,2,4,4,8,8.0,10.0,14.0,29.0,,,,,,,,,
game: 47,6,3,3,3,6,10.0,19.0,20.0,,,,,,,,,,
game: 48,1,3,2,6,10,9.0,10.0,15.0,39.0,12.0,,,,,,,,
game: 49,4,3,3,4,7,8.0,11.0,15.0,19.0,17.0,12.0,8.0,4.0,,,,,
game: 50,1,4,10,8,14,6.0,8.0,17.0,8.0,12.0,7.0,8.0,4.0,4.0,4.0,4.0,,
game: 51,2,3,4,6,7,9.0,15.0,16.0,13.0,17.0,12.0,6.0,8.0,4.0,,,,
game: 52,2,3,4,4,8,13.0,24.0,13.0,,,,,,,,,,
game: 53,4,3,3,5,8,13.0,14.0,,,,,,,,,,,
game: 54,1,2,4,7,17,22.0,8.0,12.0,6.0,7.0,9.0,,,,,,,
game: 55,6,4,4,10,13,11.0,7.0,4.0,4.0,4.0,4.0,4.0,,,,,,
game: 56,2,2,3,4,5,8.0,16.0,17.0,8.0,,,,,,,,,
game: 57,4,3,8,4,8,7.0,11.0,13.0,,,,,,,,,,
game: 58,2,3,8,5,10,15.0,9.0,13.0,,,,,,,,,,
game: 59,6,5,13,22,3,6.0,6.0,8.0,10.0,16.0,7.0,,,,,,,
game: 60,2,3,4,6,7,7.0,10.0,22.0,15.0,8.0,8.0,4.0,,,,,,
game: 61,2,3,3,4,6,10.0,20.0,20.0,8.0,17.0,14.0,,,,,,,
game: 62,1,3,4,6,11,6.0,8.0,18.0,8.0,14.0,8.0,4.0,,,,,,
game: 63,4,3,3,6,11,8.0,5.0,11.0,7.0,6.0,,,,,,,,
game: 64,2,4,5,6,6,11.0,16.0,12.0,14.0,6.0,7.0,6.0,6.0,,,,,
game: 65,2,3,6,7,14,9.0,20.0,11.0,13.0,,,,,,,,,
game: 66,3,4,3,4,6,8.0,11.0,9.0,13.0,,,,,,,,,
game: 67,4,3,4,7,9,16.0,,,,,,,,,,,,
game: 68,2,3,5,10,14,8.0,8.0,11.0,7.0,12.0,5.0,7.0,,,,,,
game: 69,2,3,5,6,7,,,,,,,,,,,,,
game: 70,1,3,4,4,9,18.0,11.0,15.0,23.0,27.0,14.0,4.0,,,,,,
game: 71,6,4,3,9,10,18.0,,,,,,,,,,,,
game: 72,1,4,5,6,14,11.0,18.0,12.0,,,,,,,,,,
game: 73,2,2,4,6,9,15.0,19.0,12.0,19.0,17.0,11.0,,,,,,,
game: 74,2,3,4,10,9,9.0,15.0,9.0,,,,,,,,,,
game: 75,4,6,3,3,5,9.0,7.0,12.0,,,,,,,,,,
game: 76,2,2,4,4,8,11.0,16.0,38.0,,,,,,,,,,
game: 77,2,2,5,5,7,19.0,19.0,10.0,18.0,,,,,,,,,
game: 78,1,2,6,12,11,14.0,10.0,13.0,16.0,14.0,11.0,7.0,6.0,10.0,4.0,4.0,4.0,
game: 79,4,3,8,6,7,11.0,10.0,,,,,,,,,,,
game: 80,1,4,7,10,18,12.0,17.0,,,,,,,,,,,
game: 81,2,4,6,13,9,11.0,10.0,10.0,,,,,,,,,,
game: 82,3,4,6,5,5,8.0,9.0,13.0,,,,,,,,,,
game: 83,4,3,5,10,6,8.0,,,,,,,,,,,,
game: 84,1,4,9,10,6,10.0,7.0,10.0,14.0,10.0,4.0,4.0,4.0,,,,,
game: 85,6,4,5,7,13,11.0,11.0,7.0,6.0,,,,,,,,,
game: 86,2,4,4,6,7,12.0,6.0,7.0,6.0,,,,,,,,,
game: 87,2,3,5,11,22,,,,,,,,,,,,,
game: 88,1,4,5,6,8,15.0,15.0,10.0,6.0,8.0,4.0,4.0,,,,,,
game: 89,4,4,5,8,12,7.0,9.0,13.0,17.0,13.0,,,,,,,,
game: 90,2,2,3,4,7,7.0,13.0,10.0,20.0,12.0,7.0,12.0,8.0,,,,,
game: 91,6,4,4,8,10,17.0,15.0,10.0,,,,,,,,,,
game: 92,1,5,8,7,10,6.0,8.0,9.0,12.0,8.0,,,,,,,,
game: 93,6,7,3,4,6,7.0,10.0,18.0,,,,,,,,,,
game: 94,2,2,5,4,6,7.0,8.0,15.0,18.0,9.0,12.0,,,,,,,
game: 95,2,4,5,5,11,9.0,,,,,,,,,,,,
game: 96,1,4,8,5,7,9.0,19.0,16.0,6.0,13.0,8.0,4.0,4.0,,,,,
game: 97,2,3,5,5,6,8.0,12.0,,,,,,,,,,,
game: 98,2,3,6,5,9,17.0,9.0,9.0,12.0,6.0,7.0,10.0,,,,,,
game: 99,6,5,5,4,6,7.0,12.0,,,,,,,,,,,
