,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18,turn 19,turn 20,turn 21,turn 22,turn 23
game: 83,5,4,4,6,166,40,27,494,57.0,56.0,42.0,29.0,16.0,16.0,,,,,,,,,,
game: 84,2,5,11,11,46,16,16,63,49.0,44.0,56.0,21.0,41.0,42.0,149.0,50.0,16.0,16.0,,,,,,
game: 85,5,4,9,12,47,12,38,159,102.0,54.0,13599.0,98.0,141.0,19.0,8.0,8.0,,,,,,,,
game: 86,1,3,7,11,11,11,11,21,16.0,,,,,,,,,,,,,,,
game: 87,2,5,4,6,19,18,23,256,22.0,99.0,209.0,21.0,8.0,,,,,,,,,,,
game: 88,1,4,11,7,23,65,57,369,82.0,192.0,48.0,22.0,116.0,14.0,144.0,15.0,35.0,,,,,,,
game: 89,5,16,5,7,13,34,67,63,62.0,66.0,88.0,126.0,18.0,21.0,10.0,,,,,,,,,
game: 90,1,4,14,12,12,125,66,209,36.0,65.0,52.0,221.0,44.0,17.0,8.0,13.0,,,,,,,,
game: 91,2,3,5,17,65,105,12,29,106.0,42.0,11.0,,,,,,,,,,,,,
game: 92,2,5,19,30,65,19,16,62,294.0,85.0,26.0,19.0,10.0,,,,,,,,,,,
game: 93,2,2,3,9,15,29,35,41,742.0,117.0,391.0,,,,,,,,,,,,,
game: 94,1,4,12,13,13,22,53,175,413.0,279.0,30.0,,,,,,,,,,,,,
game: 95,2,4,30,13,151,30,57,168,22.0,27.0,10.0,5.0,10.0,,,,,,,,,,,
game: 96,2,5,8,12,25,38,148,39,57.0,30.0,15.0,29.0,35.0,16.0,5.0,,,,,,,,,
game: 97,16,8,8,8,5,3,3,22,95.0,44.0,44.0,29.0,41.0,16.0,2.0,5.0,,,,,,,,
game: 98,5,3,4,5,17,8,5,11,23.0,27.0,469.0,54.0,10.0,16.0,5.0,5.0,5.0,,,,,,,
game: 99,2,12,2,5,14,48,45,168,48.0,5.0,10.0,50.0,,,,,,,,,,,,
