,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16
game: 33,5,11,4,6,10,15.0,12.0,32.0,21.0,65.0,5.0,,,,,,
game: 34,2,3,3,4,8,7.0,7.0,,,,,,,,,,
game: 35,5,22,57,8,5,8.0,14.0,11.0,,,,,,,,,
game: 36,3,4,7,12,7,21.0,,,,,,,,,,,
game: 37,2,8,3,6,19,42.0,12.0,30.0,29.0,,,,,,,,
game: 38,1,2,3,6,8,27.0,34.0,54.0,27.0,35.0,8.0,16.0,5.0,16.0,,,
game: 39,5,8,4,4,12,5.0,,,,,,,,,,,
game: 40,2,3,3,7,19,11.0,6.0,10.0,10.0,,,,,,,,
game: 41,2,5,5,11,6,8.0,17.0,23.0,32.0,29.0,16.0,5.0,16.0,5.0,16.0,16.0,5.0
game: 42,1,4,6,4,12,6.0,17.0,,,,,,,,,,
game: 43,5,4,8,17,33,21.0,29.0,,,,,,,,,,
game: 44,2,2,3,7,8,29.0,32.0,8.0,10.0,,,,,,,,
game: 45,5,2,4,3,7,13.0,51.0,42.0,,,,,,,,,
game: 46,1,3,6,7,12,10.0,16.0,,,,,,,,,,
game: 47,5,4,4,6,7,13.0,27.0,43.0,,,,,,,,,
game: 48,2,2,5,5,12,10.0,24.0,13.0,,,,,,,,,
game: 49,8,4,3,4,8,16.0,21.0,21.0,,,,,,,,,
game: 50,2,3,5,11,16,24.0,15.0,16.0,16.0,10.0,5.0,16.0,,,,,
game: 51,5,11,8,19,38,8.0,,,,,,,,,,,
game: 52,2,4,4,5,5,8.0,16.0,21.0,10.0,,,,,,,,
game: 53,2,3,7,9,13,,,,,,,,,,,,
game: 54,2,4,5,10,7,18.0,9.0,15.0,16.0,27.0,15.0,14.0,,,,,
game: 55,8,4,6,10,12,19.0,22.0,11.0,29.0,,,,,,,,
game: 56,2,3,4,6,7,10.0,16.0,56.0,29.0,10.0,,,,,,,
game: 57,2,11,4,5,5,7.0,16.0,,,,,,,,,,
game: 58,1,3,4,4,7,20.0,37.0,26.0,36.0,,,,,,,,
game: 59,5,3,4,6,10,12.0,,,,,,,,,,,
game: 60,2,5,9,4,7,11.0,11.0,13.0,23.0,,,,,,,,
game: 61,5,5,19,38,79,25.0,60.0,47.0,,,,,,,,,
game: 62,2,2,3,7,15,27.0,26.0,,,,,,,,,,
game: 63,5,8,14,11,5,10.0,24.0,61.0,60.0,,,,,,,,
game: 64,3,3,5,7,12,18.0,38.0,41.0,16.0,16.0,16.0,,,,,,
game: 65,2,3,6,17,18,15.0,20.0,12.0,15.0,17.0,16.0,27.0,,,,,
game: 66,2,3,4,3,9,18.0,,,,,,,,,,,
game: 67,5,3,4,6,11,17.0,65.0,72.0,35.0,10.0,5.0,16.0,,,,,
game: 68,1,4,5,8,12,16.0,32.0,21.0,,,,,,,,,
game: 69,2,4,9,29,6,12.0,18.0,,,,,,,,,,
