,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12,turn 13,turn 14,turn 15,turn 16,turn 17,turn 18
game: 61,19.999999999999996,48.14814814814815,0.0,0.0,18.181818181818176,29.166666666666664,29.166666666666664,53.03030303030303,54.28571428571429,65.54621848739495,39.13043478260869,25.0,55.172413793103445,69.23076923076923,50.0,,,,
game: 62,0.0,0.0,0.0,16.666666666666664,14.28571428571429,40.35087719298246,45.45454545454546,72.48322147651007,56.14035087719298,,,,,,,,,,
game: 63,37.5,18.181818181818176,0.0,0.0,0.0,28.57142857142857,25.0,33.333333333333336,27.77777777777778,30.76923076923077,54.54545454545454,48.275862068965516,,,,,,,
game: 64,0.0,0.0,0.0,25.0,46.34146341463414,27.27272727272727,59.210526315789465,56.62650602409638,51.06382978723405,35.0,30.76923076923077,47.61904761904761,,,,,,,
game: 65,19.999999999999996,12.5,25.0,14.28571428571429,11.111111111111116,25.0,28.57142857142857,57.14285714285714,33.333333333333336,33.333333333333336,28.57142857142857,60.41666666666667,62.5,,,,,,
game: 66,0.0,0.0,27.27272727272727,14.28571428571429,26.315789473684216,44.44444444444444,27.27272727272727,38.095238095238095,30.000000000000004,69.23076923076923,50.0,,,,,,,,
game: 67,19.999999999999996,48.14814814814815,0.0,19.999999999999996,12.5,25.0,47.61904761904761,47.05882352941176,71.64179104477613,,,,,,,,,,
game: 68,0.0,0.0,22.22222222222222,25.0,45.833333333333336,30.000000000000004,47.36842105263158,67.85714285714286,29.411764705882348,60.0,50.0,,,,,,,,
game: 69,37.5,0.0,22.22222222222222,0.0,16.666666666666664,16.666666666666664,31.25,22.22222222222222,47.36842105263158,,,,,,,,,,
game: 70,0.0,0.0,0.0,25.0,48.71794871794872,27.27272727272727,50.0,46.666666666666664,,,,,,,,,,,
game: 71,0.0,0.0,31.57894736842105,46.34146341463414,42.85714285714286,14.28571428571429,29.411764705882348,45.16129032258065,33.333333333333336,52.94117647058824,54.347826086956516,39.13043478260869,,,,,,,
game: 72,0.0,0.0,0.0,0.0,25.0,23.076923076923073,31.57894736842105,27.27272727272727,52.63157894736843,60.0,,,,,,,,,
game: 73,19.999999999999996,47.36842105263158,18.181818181818176,14.28571428571429,23.076923076923073,48.33333333333333,58.94736842105264,75.77197149643705,48.275862068965516,,,,,,,,,,
game: 74,0.0,0.0,16.666666666666664,0.0,14.28571428571429,29.032258064516125,36.170212765957444,53.703703703703695,52.542372881355924,,,,,,,,,,
game: 75,0.0,18.181818181818176,46.666666666666664,42.85714285714286,61.71875,21.42857142857143,59.183673469387756,46.15384615384615,33.333333333333336,47.05882352941176,30.76923076923077,,,,,,,,
game: 76,0.0,0.0,0.0,16.666666666666664,15.384615384615385,65.89147286821706,30.000000000000004,26.66666666666667,,,,,,,,,,,
game: 77,19.999999999999996,0.0,25.0,14.28571428571429,15.000000000000002,31.818181818181824,34.42622950819673,47.05882352941176,25.0,30.000000000000004,,,,,,,,,
game: 78,0.0,0.0,0.0,26.315789473684216,15.384615384615385,31.57894736842105,37.93103448275862,25.0,,,,,,,,,,,
game: 79,19.999999999999996,48.14814814814815,0.0,25.0,21.42857142857143,43.99999999999999,31.999999999999996,60.49382716049383,57.14285714285714,46.666666666666664,53.333333333333336,47.05882352941176,50.0,30.000000000000004,51.72413793103448,56.09756097560976,,,
game: 80,0.0,0.0,0.0,16.666666666666664,36.0,31.25,45.16129032258065,65.33333333333333,30.76923076923077,45.45454545454546,47.36842105263158,54.16666666666667,47.05882352941176,,,,,,
game: 81,19.999999999999996,48.14814814814815,18.181818181818176,12.5,28.57142857142857,28.000000000000004,25.0,27.27272727272727,54.0,,,,,,,,,,
game: 82,0.0,0.0,0.0,12.5,40.0,28.57142857142857,30.000000000000004,28.57142857142857,63.576158940397356,65.21739130434783,57.6271186440678,54.347826086956516,47.61904761904761,55.172413793103445,63.41463414634146,,,,
game: 83,19.999999999999996,0.0,22.22222222222222,25.0,41.666666666666664,14.28571428571429,26.66666666666667,51.42857142857142,46.15384615384615,,,,,,,,,,
game: 84,0.0,0.0,0.0,28.57142857142857,40.0,23.529411764705888,38.46153846153846,27.27272727272727,27.27272727272727,35.0,,,,,,,,,
game: 85,0.0,0.0,0.0,0.0,12.5,65.09433962264151,23.529411764705888,30.000000000000004,30.000000000000004,75.0,50.0,37.5,,,,,,,
game: 86,0.0,0.0,0.0,16.666666666666664,23.076923076923073,31.25,31.25,27.27272727272727,51.42857142857142,50.0,,,,,,,,,
game: 87,0.0,0.0,0.0,14.28571428571429,14.28571428571429,23.076923076923073,31.818181818181824,51.315789473684205,75.22522522522522,59.493670886075954,75.40983606557377,50.0,69.23076923076923,19.999999999999996,30.000000000000004,50.0,,,
game: 88,0.0,0.0,0.0,25.0,25.0,31.25,25.0,53.333333333333336,27.27272727272727,45.45454545454546,,,,,,,,,
game: 89,19.999999999999996,46.93877551020408,46.93877551020408,25.0,23.076923076923073,38.70967741935484,43.333333333333336,33.333333333333336,52.27272727272727,,,,,,,,,,
game: 90,0.0,0.0,0.0,25.0,23.076923076923073,37.93103448275862,33.333333333333336,51.35135135135135,79.10447761194031,80.87167070217917,30.000000000000004,,,,,,,,
game: 91,19.999999999999996,27.27272727272727,11.111111111111116,12.5,26.315789473684216,52.63157894736843,46.15384615384615,41.666666666666664,30.76923076923077,38.095238095238095,55.55555555555556,25.0,52.94117647058824,,,,,,
game: 92,0.0,25.0,18.181818181818176,40.0,76.04562737642586,53.333333333333336,51.72413793103448,37.5,19.999999999999996,37.5,,,,,,,,,
game: 93,0.0,27.27272727272727,46.666666666666664,50.0,63.1578947368421,23.809523809523814,23.529411764705888,52.702702702702695,63.45177664974619,57.608695652173914,,,,,,,,,
game: 94,0.0,0.0,0.0,0.0,25.0,14.28571428571429,31.25,68.85245901639344,60.22727272727273,30.000000000000004,46.15384615384615,78.13765182186233,36.58536585365854,19.999999999999996,50.0,,,,
game: 95,0.0,0.0,0.0,18.181818181818176,0.0,29.411764705882348,29.411764705882348,31.25,55.319148936170215,67.40331491712708,47.82608695652174,74.59016393442623,19.999999999999996,50.0,50.0,,,,
game: 96,0.0,0.0,0.0,25.0,12.5,40.0,44.44444444444444,64.54545454545455,72.81553398058253,72.97297297297297,60.75949367088608,79.92277992277992,63.41463414634146,37.5,19.999999999999996,19.999999999999996,50.0,50.0,50.0
game: 97,19.999999999999996,17.647058823529417,18.181818181818176,14.28571428571429,25.0,30.000000000000004,53.57142857142857,55.81395348837209,27.77777777777778,30.76923076923077,56.81818181818181,58.92857142857143,60.29411764705883,48.275862068965516,50.0,,,,
game: 98,0.0,0.0,0.0,18.181818181818176,12.5,25.0,28.57142857142857,26.66666666666667,35.0,76.69902912621359,56.363636363636374,52.94117647058824,69.04761904761905,50.0,,,,,
game: 99,0.0,0.0,0.0,23.529411764705888,18.181818181818176,44.827586206896555,58.252427184466015,37.83783783783784,35.29411764705882,30.76923076923077,47.61904761904761,55.172413793103445,,,,,,,
