,turn 0,turn 1,turn 2,turn 3,turn 4,turn 5,turn 6,turn 7,turn 8,turn 9,turn 10,turn 11,turn 12
game: 80,3,4,7,5,15,33.0,81.0,15.0,,,,,
game: 81,8,19,6,5,12,7.0,14.0,21.0,,,,,
game: 82,2,3,10,34,11,29.0,11.0,8.0,,,,,
game: 83,5,3,4,6,10,16.0,59.0,36.0,29.0,16.0,5.0,,
game: 84,1,2,4,9,8,16.0,20.0,13.0,27.0,,,,
game: 85,5,8,20,25,119,30.0,74.0,16.0,,,,,
game: 86,2,5,9,6,7,21.0,8.0,16.0,23.0,,,,
game: 87,2,8,22,87,14,10.0,24.0,13.0,10.0,,,,
game: 88,2,4,5,8,15,9.0,11.0,21.0,,,,,
game: 89,2,11,17,8,17,15.0,34.0,60.0,,,,,
game: 90,1,3,8,13,33,57.0,18.0,41.0,16.0,16.0,,,
game: 91,2,11,41,49,17,37.0,33.0,30.0,15.0,16.0,,,
game: 92,2,3,4,4,6,24.0,62.0,65.0,,,,,
game: 93,5,15,14,13,26,46.0,73.0,17.0,,,,,
game: 94,1,2,3,7,13,22.0,53.0,61.0,67.0,,,,
game: 95,5,4,10,25,82,73.0,88.0,143.0,15.0,10.0,16.0,,
game: 96,3,4,6,9,15,18.0,11.0,,,,,,
game: 97,8,41,33,144,39,9.0,13.0,23.0,8.0,,,,
game: 98,3,7,10,17,18,68.0,23.0,8.0,16.0,16.0,5.0,,
game: 99,5,3,13,39,31,18.0,23.0,16.0,5.0,5.0,5.0,27.0,
